Name,Type,Phone Number,Email,Physical Address,Latitude,Longitude,Region
4Cyte Pathology,Clinic,,,"182 Commercial Road, 3181",-37.846779,144.992433,Australia
Absolute Recovery,Clinic,,,,-27.485168,153.002358,Australia
Access Medical Centre,Clinic,,,,-37.87094,145.243149,Australia
Access Medical Centre,Clinic,,,"2 Magid Avenue, 3150, AU",-37.90688,145.161195,Australia
Active Physiotherapy Solutions,Clinic,,,,-24.877527,152.331124,Australia
Adamstown Clinic,Clinic,,,,-32.934542,151.725662,Australia
Adelaide Sexual Health Centre,Clinic,,,"275 North Terrace, 5000",-34.921395,138.608321,Australia
Advanced Health Care Imaging,Clinic,,,,-37.59883,144.937425,Australia
Airlie Women's Clinic,Clinic,+61 3 9525 1941,,1364 Malvern Road,-37.853267,145.04141,Australia
Alcohol and Drug Information Service,Clinic,,,,-27.466186,153.016432,Australia
Aldinga Medical Centre,Clinic,,,,-35.273666,138.458285,Australia
Ali Curung Health Centre,Clinic,,,,-21.003645,134.407494,Australia
Allora Medical Practice,Clinic,+61 7 4666 3336,,"43 Herbert Street, 4362, AU",-28.03499,151.983089,Australia
Alpurrurulam Health Centre,Clinic,,,,-20.985401,137.848818,Australia
Amanbidji Health Centre,Clinic,,,,-16.427429,129.619891,Australia
Ampilatwatja Health Centre,Clinic,,,,-21.659297,135.22454,Australia
Ashburton Medical Clinic,Clinic,,,"301A High Street, 3147",-37.863538,145.082059,Australia
Ashford Community Health Centre,Clinic,+61 2 6726 2030,,"13 Jubilee Street, 2361",-29.319912,151.091002,Australia
Audio Clinic,Clinic,,,"278 Springvale Road, 3150, AU",-37.88217,145.165609,Australia
Australian Red Cross,Clinic,,,,-23.377964,150.495206,Australia
Australian Skin Cancer Clinics,Clinic,+61 7 5526 5911,,,-28.059682,153.429399,Australia
Ave Maria Medical Centre,Clinic,+61 7 3829 3604,,"100-102 Donald Road, 4165",-27.637219,153.305442,Australia
Bairnsdale Medical Group,Clinic,,,,-37.829368,147.613605,Australia
Balmoral Bush Nursing Centre,Clinic,,,Bell Street,-37.249384,141.84119,Australia
Balmoral Medical Centre Hornsby,Clinic,,,,-33.703334,151.100572,Australia
Balwyn Central Medical,Clinic,,,"411 Whitehorse Road, 3103",-37.812988,145.083775,Australia
Bartley Medical Centre,Clinic,+61 8 8341 5666,,Bartley Terrace,-34.860073,138.489216,Australia
Barunga Health Centre,Clinic,,,,-14.524934,132.865734,Australia
Batchelor Health Centre,Clinic,+61 8 8976 0011,,"Pinaroo Crescent, AU",-13.045778,131.030347,Australia
Bathurst Medicare Urgent Care Clinic,Clinic,+61 2 5326 3700,,129 Howick Street,-33.418025,149.582569,Australia
Bell Street Family Medical Centre,Clinic,+61 3 9355 7077,,364 Bell Street,-37.73923,144.947009,Australia
Bellfield Medical Centre,Clinic,,,337 Bell Street,-37.74989,145.039727,Australia
Bentley Child Health Centre,Clinic,,,,-32.00997,115.902207,Australia
Berowra Family Medical Practice,Clinic,,,,-33.613161,151.139153,Australia
Beswick Health Centre,Clinic,,,,-14.554661,133.113263,Australia
BetteHealth Naturopathic Clinic,Clinic,,,,-31.736209,115.767889,Australia
Binnaway Community Health Centre,Clinic,,,"3 Renshaw Street, 2395",-31.551797,149.376884,Australia
Blackbutt Medical Centre,Clinic,+61 7 4163 0023,,,-26.886063,152.105884,Australia
Bli Bli Medical Clinic,Clinic,+61 7 5450 0151,,,-26.621741,153.042734,Australia
Bollon Community Clinic,Clinic,+61 7 4625 6105,,"37 Main Street, 4488",-28.031397,147.478997,Australia
Bondi Doctors,Clinic,+61 2 9365 2833,,"19 O'Brien Street, 2026",-33.888995,151.270199,Australia
Borroloola Health Centre,Clinic,,,,-16.0545,136.305245,Australia
Botany Park Medical Centre,Clinic,,,"28 Lyrebird Drive, 3201",-38.111737,145.173604,Australia
Brewarrina Aboriginal Health Service,Clinic,,,,-29.961197,146.85609,Australia
Bridgeview Medical Practice,Clinic,+61 2 9631 6400,,27-30 Portico Parade,-33.785922,150.950576,Australia
Brisbane Acupuncture Clinic,Clinic,,,,-27.482887,153.005815,Australia
Brisbane Sexual Health Clinic,Clinic,+61 7 3837 5611,,,-27.466172,153.016368,Australia
Bull Creek Medical Centre,Clinic,,,,-32.057384,115.865897,Australia
Bulla Health Centre,Clinic,,,,-15.766162,130.039763,Australia
Bundoora Osteopathic Clinic,Clinic,,,1 Oxley Avenue,-37.690905,145.063523,Australia
Bundoora Phisiotherapy Clinic,Clinic,,,145 Plenty Road,-37.691133,145.063299,Australia
