Name,Type,Phone Number,Email,Physical Address,Latitude,Longitude,Region
AAIMS Medical Centre,Clinic,,,,18.025901,-77.854712,Jamaica
Absolute Care,Clinic,,,,18.138187,-77.0327,Jamaica
Alma Jones Medical Centre,Clinic,,,"119 Hagley Park Road, Kingston",18.003432,-76.816746,Jamaica
Apex Health Care Accoviates,Clinic,18769607923,,"2a Molynes Road, St Andrew, Kingston 10",18.012354,-76.799862,Jamaica
Apex Medical Center,Clinic,,,Braeton Parkway,17.9635,-76.893738,Jamaica
Baywest Wellness Clinic,Clinic,,,,18.446059,-78.173197,Jamaica
Bog walk Health Center,Clinic,,,,18.113503,-76.99454,Jamaica
City Medical,Clinic,,,,18.47651,-77.922768,Jamaica
Comprehensive Health Centre,Clinic,,,,17.986354,-76.792428,Jamaica
Cumberland Medical,Clinic,,,"Cumberland Road, Spanish Town",17.99742,-76.958459,Jamaica
Cure Well Medical Centre,Clinic,,,,18.2221,-78.131598,Jamaica
Downtown Medical Centre,Clinic,,,,17.965578,-76.790149,Jamaica
Dr Reddy's Medical Centre,Clinic,955-2727,,,18.222868,-78.132293,Jamaica
Duhaney Park Health Center,Clinic,,,,18.032211,-76.845076,Jamaica
Duncans Health Center,Clinic,,,,18.469083,-77.529013,Jamaica
Duncans Medical Center,Clinic,,,,18.468906,-77.5301,Jamaica
El Shaddai Medical Centre,Clinic,,,"94 1/2 Old Hope Road, Kingston",18.006413,-76.774974,Jamaica
Elohim Medical,Clinic,,,,18.47161,-77.922557,Jamaica
Ewarton health center,Clinic,7056201,,Mount  rosser,18.113229,-77.001285,Jamaica
Far East Medical Centre,Clinic,,,,17.973248,-76.765695,Jamaica
GWest Centre,Clinic,,,Montego Bay,18.455462,-77.926976,Jamaica
General Medical Practice,Clinic,,,,18.467216,-77.908882,Jamaica
Greater Portmore Health Center,Clinic,,,West Henderson Boulevard,17.940095,-76.907399,Jamaica
Green Island Health Center,Clinic,,,,18.388336,-78.274629,Jamaica
Gregory Park Clinic,Clinic,,,"Gregory Park Main Road, Portmore",17.998695,-76.890087,Jamaica
Heart Trust NTA,Clinic,,,,17.999576,-76.804879,Jamaica
Heritage Medical Centre,Clinic,,,,18.221728,-78.133101,Jamaica
Holy Spirit Clinic,Clinic,,,,18.161939,-77.763124,Jamaica
Hope Institute,Clinic,18769772111,,,18.006038,-76.738221,Jamaica
J&S Medical Centre,Clinic,968-8097/968-8905,,,17.994658,-76.791881,Jamaica
James Hill health center,Clinic,,,,18.174846,-77.340753,Jamaica
Linstead Clinic (Type 5),Clinic,,,"Kings Street, Linstead",18.133206,-77.030824,Jamaica
Lydia Dialysis Centre,Clinic,,,"Half Way Tree Road, Kingston",18.004383,-76.791886,Jamaica
Mandeville Comprehensive Clinic,Clinic,,,,18.041083,-77.507966,Jamaica
Mannings Hill Medical Centre,Clinic,,,,18.042274,-76.799585,Jamaica
Maxfield Health Centre,Clinic,,,,17.996024,-76.804673,Jamaica
Maxfield Park Health Centre,Clinic,,,,17.999094,-76.805125,Jamaica
May Pen Healthcare Complex,Clinic,,,,17.9707,-77.246403,Jamaica
May Pen Medical Centre,Clinic,986-2717,,,17.971,-77.244616,Jamaica
Medical Associates Hospital,Clinic,1 876 926 1400,,18 Tangerine Place,18.006595,-76.79296,Jamaica
Medical Centre,Clinic,,,,17.982191,-76.881452,Jamaica
