Name,Type,Phone Number,Email,Physical Address,Latitude,Longitude,Region
Asia Physio,Clinic,,,,42.855935,140.707816,Japan
Dental,Clinic,,,,36.398281,139.726551,Japan
Dozen Hospital,Clinic,,,,35.729483,139.793901,Japan
Niseko Physio,Clinic,+81 080 0136 22 0399,,,42.858948,140.705583,Japan
Women’sClinicひらしま産婦人科,Clinic,,,,35.974628,139.61701,Japan
あいこう皮膚科クリニック,Clinic,,,,31.552994,130.526942,Japan
あかぬまクリニック,Clinic,,,,36.614567,139.838664,Japan
あけぼのクリニック,Clinic,,,,34.926277,137.189248,Japan
あすか眼科医院,Clinic,,,,35.660944,140.072291,Japan
いずみ心療内科クリニック,Clinic,,,,36.954895,140.859354,Japan
いそべ眼科,Clinic,,,,35.394632,139.611096,Japan
いとう内科クリニック,Clinic,,,,36.088165,136.221234,Japan
うえますクリニック,Clinic,,,,35.445836,133.306542,Japan
かごしま眼科,Clinic,+81-428-21-7909,,"青梅市, 198-0036",35.786044,139.286493,Japan
かさい医院,Clinic,,,,35.882603,139.643903,Japan
かつしか江戸川病院,Clinic,,,,35.748154,139.869928,Japan
かわかみこどもクリニック,Clinic,,,,35.991673,139.546172,Japan
こどもの国 レディスクリニック,Clinic,,,,35.553698,139.484282,Japan
こばやしクリニック,Clinic,,,,36.397933,139.730866,Japan
ごとう眼科,Clinic,,,,35.790293,139.252372,Japan
すずかけ台眼科クリニック,Clinic,,,,35.517237,139.481556,Japan
すずき病院,Clinic,,,,35.752918,139.79994,Japan
たじま医院,Clinic,,,,35.417587,133.32132,Japan
たにざわ歯科クリニック,Clinic,,,,35.697557,139.410481,Japan
としま昭和病院,Clinic,,,,35.728836,139.682256,Japan
にしこく鍼灸整骨院,Clinic,,,,35.700145,139.464818,Japan
にしのキッズクリニック,Clinic,+81 46-236-5545,,,35.448692,139.397448,Japan
のなか内科,Clinic,,,,35.903571,139.629368,Japan
はべ泌尿器科,Clinic,,,,35.068046,136.680243,Japan
ひさのう循環器内科,Clinic,,,,33.275792,130.270402,Japan
ひとし眼科,Clinic,,,,24.331952,124.171271,Japan
みうらクリニック,Clinic,,,,35.43781,139.615636,Japan
みすぎ整体院,Clinic,,,,35.655214,139.336143,Japan
みのり台メディカルクリニック,Clinic,,,,35.787373,139.930024,Japan
やつぎ外科内科クリニック,Clinic,,,,33.250611,130.283182,Japan
やまなかクリニック,Clinic,+81 46-236-5250,,"海老名市, 243-0405",35.448708,139.39725,Japan
ゆうメディカルクリニック,Clinic,,,,34.742355,135.534395,Japan
ゆみのハートクリニック,Clinic,,,,35.714925,139.705156,Japan
わたなべ整形外科クリニック,Clinic,,,,33.512114,130.526826,Japan
アルファメディック クリニック,Clinic,,,,35.535921,139.700394,Japan
イセアクリニック,Clinic,,,,35.663021,139.699504,Japan
イムスリハビリテーションセンター東京葛飾病院,Clinic,,,,35.744813,139.832019,Japan
イムス記念病院,Clinic,,,,35.763418,139.677581,Japan
オギシマ歯科,Clinic,,,,35.811097,139.550643,Japan
クロス病院,Clinic,,,,35.677285,139.675079,Japan
ソフィア鍼灸治療院,Clinic,,,,35.787266,139.285956,Japan
ファミールこどもクリニック,Clinic,,,,35.394626,139.611194,Japan
一心病院,Clinic,,,,35.732796,139.730151,Japan
三上耳鼻咽喉科,Clinic,,,,35.437857,139.616184,Japan
三奉会井上病院,Clinic,09-3850-5771,,"足立区, 121-0813",35.794587,139.797037,Japan
上智厚生病院,Clinic,,,,35.747271,139.776541,Japan
下井病院,Clinic,,,,35.765229,139.829035,Japan
中原内科,Clinic,,,,33.248991,130.284132,Japan
中央クリニック,Clinic,,,,33.253256,130.294609,Japan
中山眼科医院,Clinic,,,,34.825851,135.69912,Japan
中洲整形外科,Clinic,,,,31.578618,130.543733,Japan
中部産婦人科,Clinic,,,,34.915531,135.770334,Japan
久会久病院,Clinic,,,,33.560476,133.54778,Japan
仁生会三愛病院,Clinic,,,,33.583334,133.567777,Japan
今村小児科,Clinic,,,,31.547538,130.541909,Japan
佐藤小児科クリニック,Clinic,,,,35.811188,139.71345,Japan
佐藤整形外科,Clinic,,,,33.260659,130.30368,Japan
佐藤病院,Clinic,,,,35.749841,139.76132,Japan
保谷病院,Clinic,,,,35.748475,139.572141,Japan
信愛整形外科,Clinic,,,,33.250068,130.291814,Japan
健和会柳原病院,Clinic,,,,35.742493,139.816822,Japan
光ケ丘保養園,Clinic,+81 226 22 6920,,"気仙沼市, 988-0813",38.911025,141.589033,Japan
八尾眼科 2F,Clinic,,,,35.713074,139.358636,Japan
八木病院,Clinic,,,,35.767088,139.726766,Japan
共栄会鳥海病院,Clinic,,,,35.315623,139.625751,Japan
共生会下司病院,Clinic,,,,33.5572,133.53677,Japan
内山耳鼻咽喉科医院,Clinic,,,,35.744661,139.322798,Japan
内野産婦人科,Clinic,,,,33.250616,130.307111,Japan
刈谷整形外科病院,Clinic,,,,34.993961,137.009844,Japan
前山医院,Clinic,,,,33.250011,130.291228,Japan
前田内科,Clinic,,,,35.393396,139.612461,Japan
前野病院,Clinic,,,,35.768655,139.688567,Japan
力武医院,Clinic,,,,33.264934,130.294057,Japan
勝楽堂病院,Clinic,,,,35.753027,139.797287,Japan
千葉内科循環器科,Clinic,,,,33.259989,130.295542,Japan
南千住病院,Clinic,,,,35.733935,139.794181,Japan
博信会中ノ橋病院,Clinic,,,,33.563531,133.536781,Japan
博慈会田園クリニック,Clinic,,,,35.813506,139.770913,Japan
博慈会記念総合病院,Clinic,,,,35.785046,139.749662,Japan
厚生協会大泉病院,Clinic,,,,35.768849,139.581072,Japan
原整形外科病院,Clinic,,,,35.730286,139.699992,Japan
