Name,Type,Phone Number,Email,Physical Address,Latitude,Longitude,Region
"""Евразия"" медициналық орталығы",Clinic,+7 71336 21520;+7 71336 21900,hromtaumce@mail.ru,,50.255617,58.432147,Kazakhstan
16 СВА,Clinic,+77222645365,,,50.401121,80.29912,Kazakhstan
2 городская больница,Clinic,,,123 Васильева,54.868536,69.158099,Kazakhstan
22 калалык емхана,Clinic,,,,43.304811,76.853102,Kazakhstan
3-я Поликлиника,Clinic,,,,42.360105,69.635751,Kazakhstan
5-я поликлиника,Clinic,,,,42.326119,69.648228,Kazakhstan
6-я поликлиника,Clinic,,,"Аль-Фараби улица, Шымкент",42.369567,69.543944,Kazakhstan
A.S.K.MED,Clinic,,,"20/1 Машһүр Жүсіп көшесі, Павлодар",52.289786,76.951019,Kazakhstan
AQZERE EMHANASY,Clinic,,,161 Б.Майлин улица,43.311831,68.221536,Kazakhstan
Acibadem,Clinic,+7 701 550 5944;+7 7252 40 20 06,kazakhistan@acibadem.com.tr,,42.316375,69.580164,Kazakhstan
Acibadem,Clinic,+7 7272 72 31 16;+7 778 638 2200,kazakhistan@acibadem.com.tr,,43.249808,76.949956,Kazakhstan
Aigerim,Clinic,+7 7132 905100,,7к1 Пацаев көшесі,50.298567,57.148804,Kazakhstan
Allergo-Doc,Clinic,,,,52.283682,76.971161,Kazakhstan
Almaz Medical Group,Clinic,+7 (7182)53-17-75,,4 улица генерала Дюсенова,52.297327,76.941712,Kazakhstan
Amira,Clinic,+7 727 317 44 51;+7 727 275 15 95;+7 727 275 15 95(whatsapp),info@amiraclinic.kz,"160 улица Катаева, 050060",43.23261,76.89182,Kazakhstan
Angio service,Clinic,,,,43.210333,76.949655,Kazakhstan
Arumed,Clinic,,,,43.242389,76.940792,Kazakhstan
Asar,Clinic,,,,42.404997,69.608285,Kazakhstan
Astana Clinic,Clinic,+7 701 033 3536,info@aclinic.kz,,51.166791,71.4412,Kazakhstan
Astana Clinic,Clinic,,,,51.16687,71.44158,Kazakhstan
Aventus,Clinic,,,,51.128488,71.461738,Kazakhstan
Avicenna,Clinic,,,"108/1 проспект Евразия, KZ",51.219663,51.390982,Kazakhstan
Ayaumed,Clinic,,,,50.282702,57.215521,Kazakhstan
Biomed,Clinic,,,,51.818123,68.354694,Kazakhstan
CITY,Clinic,,,"13/3 улица Анет баба, Астана, KZ",51.139102,71.385672,Kazakhstan
CITY городская поликлиника,Clinic,,,,51.139115,71.385687,Kazakhstan
Center of Israeli Medecine (CIM),Clinic,,,71 улица Маркова,43.225194,76.936464,Kazakhstan
DIVera,Clinic,,,,51.212559,51.367769,Kazakhstan
Daru Nefros,Clinic,,,,50.280344,57.152626,Kazakhstan
Daumed,Clinic,,,,43.654208,73.758765,Kazakhstan
Demeu,Clinic,,,,42.182827,69.893648,Kazakhstan
Deя,Clinic,+7 747 093 8970,medea-10@mail.ru,,54.873347,69.129557,Kazakhstan
Diaverum,Clinic,,,,50.255533,57.226823,Kazakhstan
Doctor Plus Atyrau,Clinic,,,,47.112606,51.928141,Kazakhstan
Dr.Watson,Clinic,,,,50.405939,80.257496,Kazakhstan
Ecomed,Clinic,,,,51.158971,71.41006,Kazakhstan
Ecomed,Clinic,,,257Б Ағайынды Жұбановтар көшесі,50.295089,57.148912,Kazakhstan
