Name,Type,Phone Number,Email,Physical Address,Latitude,Longitude,Region
1301st Dental Dispensary,Clinic,,,"Lawton Avenue, Taguig, 1634",14.535092,121.037524,Manila (Philippines)
210 Intercon Diagnostic Center,Clinic,,,"Del Monte Avenue, Quezon City",14.637471,120.995351,Manila (Philippines)
5CircleFrames,Clinic,,,,14.628928,121.064324,Manila (Philippines)
98 msa agri,Clinic,,,,14.698543,120.995192,Manila (Philippines)
A.C. Lim Polyclinic,Clinic,+6325328797,,123 Reverend Gregorio Aglipay Street,14.588924,121.023946,Manila (Philippines)
A.H. Lacson Health Center,Clinic,,,Suter Street,14.580846,121.013618,Manila (Philippines)
A.N. Rodriguez Maternity Clinic,Clinic,,,,14.6657,120.997718,Manila (Philippines)
ABC Clinic,Clinic,,,Rizal Avenue,14.626401,120.98312,Manila (Philippines)
AF Holy Spirit Clinic,Clinic,,,"BF Homes Road, Quezon City, 1127",14.686666,121.084352,Manila (Philippines)
AJA Multi-Specialty Diagnostic and Maternity Clinic,Clinic,,,Que Grande Road,14.691501,121.006953,Manila (Philippines)
ALZOL CLINIC,Clinic,,,,14.648445,120.962144,Manila (Philippines)
ANS Animal Clinic,Clinic,,,Deparo Road,14.739216,121.028264,Manila (Philippines)
ARDI Health Care Center,Clinic,,,M. Suarez Avenue,14.568145,121.086079,Manila (Philippines)
ARO Aesthetic & Medical Center,Clinic,,,,14.656483,120.983747,Manila (Philippines)
Accuhealth Diagnostics,Clinic,,,"C. V. Starr Avenue, Las Piñas",14.449147,120.978893,Manila (Philippines)
Ace Diagnostics,Clinic,,,Commonwealth Avenue,14.704862,121.075778,Manila (Philippines)
Acu Care Center,Clinic,,,"33 Annapolis Street, San Juan",14.604609,121.052889,Manila (Philippines)
Adoracion Diagnostic Center,Clinic,,,,14.580797,121.013283,Manila (Philippines)
Aesthetic Science,Clinic,,,,14.563111,121.025081,Manila (Philippines)
Aesthetic Science Quezon City,Clinic,,,"Scout Limbaga Street, Quezon City",14.634803,121.027621,Manila (Philippines)
Agnes Dental Clinic,Clinic,,,"Langit Road, Caloocan",14.780975,121.033687,Manila (Philippines)
Agoncillo Medical Clinic,Clinic,+63 2 5302 5288,agoncillomed@yahoo.com,"San Marcelino Street, Manila, 1004",14.57533,120.991295,Manila (Philippines)
Aimee Aguilar-Teo M.D.,Clinic,,,"Burgos Circle, Taguig, 1635",14.55224,121.044479,Manila (Philippines)
Alabang Hills Clinic,Clinic,,,,14.434906,121.03229,Manila (Philippines)
Alabang Medical Clinic,Clinic,,,"Alabang-Zapote Road, Las Piñas",14.430722,121.014723,Manila (Philippines)
Aldana-Ilaya Health Center,Clinic,,,,14.478836,120.97815,Manila (Philippines)
Almanza II Health Center,Clinic,,,,14.420058,121.016018,Manila (Philippines)
American Bio-Clinical Laboratories International,Clinic,+632 86243171; +632 82360865,info@abclab.com.ph,,14.426752,121.025226,Manila (Philippines)
American Out Patient Clinic,Clinic,+63 2 8527 1611,,"Andres Soriano Avenue, Manila, 1002",14.592982,120.973162,Manila (Philippines)
Angelus Medical Clinic,Clinic,,amci@angelusmedicalph.com,,14.556571,121.017925,Manila (Philippines)
Animal Bite Center,Clinic,532-87-97,,123 Reverend Gregorio Aglipay Street,14.588961,121.023921,Manila (Philippines)
Animal Bite Center,Clinic,,,,14.776924,121.047266,Manila (Philippines)
Animal Bite Clinic,Clinic,,,Camarin Road,14.741828,121.03353,Manila (Philippines)
Animal Bite Clinic,Clinic,,,General T. de Leon Road,14.687231,120.996844,Manila (Philippines)
AnimalBite Bakuna,Clinic,,,,14.659614,121.025432,Manila (Philippines)
Araneta Employees Clinic,Clinic,,,,14.62191,121.054578,Manila (Philippines)
Arciaga Medical Clinic,Clinic,,,National Road,14.407763,121.046419,Manila (Philippines)
Arugain ANM,Clinic,,,20th Avenue,14.625884,121.06021,Manila (Philippines)
Asia Pacific Medical and Diagnostic Services Inc.,Clinic,,,,14.553649,121.003396,Manila (Philippines)
Associated Medical Services,Clinic,+63 2889 25906,info@amsclinic.net,,14.558603,121.015698,Manila (Philippines)
Ate Ivy Lying Inn,Clinic,,,,14.779962,121.038068,Manila (Philippines)
Aventus,Clinic,,,,14.557925,121.014511,Manila (Philippines)
