Name,Type,Phone Number,Email,Physical Address,Latitude,Longitude,Region
3D Diagnostic,Clinic,,,"14 Strada Aleksandr Pușkin, Chișinău, MD",47.018914,28.827387,Moldova
ATIS,Clinic,,,"30 Strada Kiev, Bălți, MD",47.780998,27.925524,Moldova
AcustMed,Clinic,,,"49 Strada Columna, Chișinău, MD",47.018514,28.847818,Moldova
Adler Medical,Clinic,,,"41 Strada Bulgară, Chișinău, MD",47.017595,28.839939,Moldova
AlfaMed,Clinic,,,"66/A Strada Romană, Ungheni, MD",47.211523,27.799991,Moldova
All Med,Clinic,,,"98/4 Strada Ismail, Chișinău, MD",47.019431,28.851962,Moldova
Alter-Med,Clinic,+373 22 589 822,,"81/3 Strada Alba Iulia, Chișinău, MD",47.039846,28.765947,Moldova
Alternativa,Clinic,,,"Municipiul Chișinău, Bulevardul Cuza-Vodă 31/1",46.976784,28.85321,Moldova
Am,Clinic,,,"Школьная улица, MD",47.856101,29.049449,Moldova
Ambulatoria,Clinic,,,"11 Strada Morii, Chirileni, MD",47.379504,27.774842,Moldova
American Medical Center,Clinic,022562211,info@amc.md,"Chișinău, MD",46.97813,28.866675,Moldova
American Medical Center,Clinic,022223311,info@amc.md,"Chișinău, MD",47.029508,28.84273,Moldova
Andromed Plus,Clinic,+37379950011,,"30/A Strada Drumul Schinoasei, Codru, MD",46.991068,28.820218,Moldova
Asociația Medicală Teritorială (AMT) Botanica,Clinic,,,"5/2 Bulevardul Dacia, Chișinău, MD-2038, MD",46.991336,28.852806,Moldova
Asociația Medicală Teritorială (AMT) Centru,Clinic,+373 22 271 508,,"63 Strada 31 August 1989, Chișinău, MD",47.017135,28.836893,Moldova
Asociația Medicală Teritorială (AMT) Centru/Centrul Medicilor de Familie nr. 7,Clinic,,,"11A Strada Vasili Dokuceaev, Chișinău, MD-2028, MD",47.001576,28.818545,Moldova
Asociația Medicală Teritorială Ciocana,Clinic,+373022866966,,"80 Strada Vadul lui Vodă, Chișinău, MD-2052, MD",47.031292,28.886661,Moldova
Aspiro-Med,Clinic,,,"52 Strada Aleksandr Pușkin, Chișinău, MD-2005, MD",47.028243,28.840888,Moldova
Azil pentru batrini si persoane cu dizabilitati,Clinic,,,,48.241709,27.622576,Moldova
Babii-Ortoped,Clinic,,,"1, blocul 2M, etajul 2 Strada Romană, Chișinău, MD",47.028234,28.847047,Moldova
Balkan Medica,Clinic,,,"29/4 Strada Nicolae Testemițanu, Chișinău, MD",46.993584,28.830938,Moldova
CSF „Galaxia” - Oficiul Medicilor de Familie nr. 6,Clinic,+37322782633,,"14/1 Strada Băcioii Noi, Chișinău, MD-2029, MD",46.957982,28.919474,Moldova
Cabinet de Radiologie Dentară,Clinic,,,"71 Strada Ștefan cel Mare și Sfânt, Fălești, MD-5902, MD",47.57388,27.707595,Moldova
CardioPrima,Clinic,,,"33/3 Strada Trandafirilor, Chișinău, MD-2038, MD",46.996514,28.847405,Moldova
Centru Medical de diagnostic și tratament,Clinic,31113,,,47.375185,28.821402,Moldova
Centrul Comunitar de Sănătate Mintală,Clinic,,,"24 Strada Ion Creangă, Chișinău, MD-2064, MD",47.03257,28.804597,Moldova
Centrul Consultativ Diagnostic (CCD),Clinic,,,"63 Strada 31 August 1989, Chișinău, MD",47.017415,28.83646,Moldova
Centrul Consultativ Diagnostic al Ministerului Apărării,Clinic,,,"84 Șoseaua Hâncești, Chișinău, MD-2021, MD",46.99891,28.804257,Moldova
Centrul Curativ-Diagnostic „Podiac”,Clinic,+373 22 222 282,,"111 Strada Columna, Chișinău, MD",47.024492,28.838829,Moldova
Centrul Medical Consultativ „Lacteia”,Clinic,,,"2 Strada Vlaicu Pîrcălab, Chișinău, MD-2009, MD",47.015965,28.826149,Moldova
Centrul Medical Specializat pentru Imigranți și Emigranți,Clinic,,,"Chișinău, MD",47.030931,28.846117,Moldova
Centrul Medical de Diagnostic „Modus Vivendi”,Clinic,,,"80 Strada Burebista, Chișinău, MD",46.9794,28.870937,Moldova
Centrul Medical „Artidemis”,Clinic,,,,46.830242,28.586334,Moldova
Centrul Medical „Doctor”,Clinic,,,"10 Strada Mihai Eminescu, Orhei, MD",47.379094,28.821781,Moldova
Centrul Medical „Fluid“,Clinic,+373 22 226 186,cmfluid@gmail.com,"64 Strada București, Chișinău, MD-2012, MD",47.020791,28.830728,Moldova
Centrul Medical „Maia & CO”,Clinic,,,"11/2 Strada Doina și Ion Aldea-Teodorovici, Chișinău, MD",47.028445,28.794069,Moldova
