Name,Type,Phone Number,Email,Physical Address,Latitude,Longitude,Region
24 Hour Surgery,Clinic,+64 3 379 1739,,"401 Madras Street, Christchurch, 8013, NZ",-43.521701,172.641533,New Zealand
ABI Rehabilitation,Clinic,,,,-36.871691,174.603447,New Zealand
ABI Rehabilitation Specialists,Clinic,+6442370128,,"6 Hospital Drive, Porirua, 5022",-41.146742,174.832017,New Zealand
ARA Health Centre,Clinic,,,,-43.538805,172.645082,New Zealand
Accupuncture Clinic,Clinic,,,,-35.698017,174.312324,New Zealand
Acme Acupuncture and Chinese Herbs Clinic ( Acme Acu),Clinic,+64 3 552 2189,AcmeAcu@gmail.com,"108 Highgate, 9010",-45.87098,170.483201,New Zealand
Active+,Clinic,,,,-36.921852,174.713469,New Zealand
Acupuncture,Clinic,,,Mangere Town Square,-36.96969,174.800135,New Zealand
Acute Mental Health Unit,Clinic,,,,-37.708879,176.145815,New Zealand
Advanced Health Chiropractor,Clinic,,,,-36.911716,174.654249,New Zealand
Anglesea Clinic Accident & Medical,Clinic,,,Thackeray Street,-37.792363,175.283306,New Zealand
Aorangi Specialist Centre,Clinic,,,,-40.348672,175.617066,New Zealand
Ashley & Martin,Clinic,,,,-36.866647,174.777321,New Zealand
Asthma and Respiratory Centre,Clinic,,,,-37.725698,176.131291,New Zealand
Auckland ENT Group,Clinic,,,,-36.881659,174.775539,New Zealand
Auckland Eye,Clinic,,,,-36.87398,174.780976,New Zealand
Auckland Eye,Clinic,,,,-36.791822,174.763551,New Zealand
Auckland Gastroenterology Associates,Clinic,,,100 Mountain Road,-36.956912,174.784031,New Zealand
Auckland Radiology Group,Clinic,,,,-37.042385,174.918628,New Zealand
Auckland Shoulder Clinic,Clinic,,,,-36.850913,174.756386,New Zealand
Auckland University Optometry Clinic,Clinic,+64 9 9239909,,,-36.862285,174.770163,New Zealand
Avondale Family Health Centre,Clinic,,,"1784 Great North Road, Auckland, 1026",-36.891577,174.696397,New Zealand
Awanui Labs,Clinic,,,,-36.870442,174.710973,New Zealand
Awanui Labs,Clinic,,,,-36.923202,174.783747,New Zealand
Awanui Labs,Clinic,,,,-36.906121,174.774417,New Zealand
Awanui Labs,Clinic,,,11 Mason Avenue,-36.943726,174.841766,New Zealand
Awanui Labs,Clinic,,,,-36.773449,174.55097,New Zealand
Awanui Labs,Clinic,,,,-36.886374,174.644906,New Zealand
Awanui Labs,Clinic,,,,-36.675686,174.451088,New Zealand
