Name,Type,Phone Number,Email,Physical Address,Latitude,Longitude,Region
1010 Planet Dialysis,Clinic,,,,-26.38533,27.854379,South Africa
24/7 Medclinic,Clinic,+27 11 039 7748,info@medclinic24-7.co.za,"2A Simmonds Street, Johannesburg",-26.211329,28.039956,South Africa
4th Avenue Community Health Clinic,Clinic,,,4th Avenue,-26.105856,28.09036,South Africa
8th Avenue Clinic,Clinic,,,8th Avenue,-26.110422,28.096231,South Africa
@Health Medical Centre,Clinic,+27 126640617,,"258B Jean Ave, Die Hoewes, Centurion, 0163",-25.846769,28.194405,South Africa
AFM Steynville Church,Clinic,,,,-29.617494,24.101262,South Africa
ANOVA Health Institute Male Clinic,Clinic,,,,-34.015118,18.649412,South Africa
AVIA Occupational Health Care Services,Clinic,+27 12 548 0553,,"484 Hilda Street, Pretoria, 0083",-25.751265,28.235437,South Africa
Adriaanse Clinic,Clinic,+27 21 444 2396,adriaanse.clinic@capetown.gov.za,"40th Avenue, Clarke Estate",-33.937725,18.585006,South Africa
Aesthetica SKin Centre,Clinic,,,"32 O'Reilly Merry Street, northmead, 1501",-26.165559,28.325891,South Africa
Akeso Crescent Clinic Randburg,Clinic,,,"Cnr President Fouché Drive & Hawken Avenue, Boskruin Randburg, 2118",-26.088295,27.959004,South Africa
Akeso Parktown Psychiatric Clinic,Clinic,+27 87 098 0458,,"6 Junction Avenue, Parktown,Johannesburg, 2193",-26.182676,28.044146,South Africa
Allemansdrift CHC,Clinic,+27 13 976 8110,,Allemansdrift-C,-25.115759,28.908019,South Africa
Amandlalathi Clinic,Clinic,,,,-28.877779,30.986155,South Africa
Ampath - Krugersdorp Bell street,Clinic,+27 119544044,,"210 Bell Drive, Krugersdorp, 1746",-26.0973,27.805609,South Africa
Ampath Laboratories,Clinic,,,"1171 Stanza Bobape Street, Pretoria",-25.743428,28.238163,South Africa
Apffelstaedt & Associates,Clinic,+27 21 930 2662,info@apffelstaedt.com,"47 Hennie Winterbach Street, Panorama, Cape Town, 7500",-33.877703,18.576102,South Africa
Arrie Nel Docville Pharmacy Clinic,Clinic,,,"433 Darter Road, Villieria Pretoria",-26.168268,27.70289,South Africa
Arrie Nel Pharmacy Wonderpark,Clinic,+27 12 549 3349,,"74 Dieffenbachia Street, Karenpark, Pretoria North, 0182",-25.669712,28.112949,South Africa
Atteridgeville clinic,Clinic,+27 12 358 3920,,"1A Mareka Street, Pretoria, 0006",-25.768573,28.078482,South Africa
Atteridgeville women clinic,Clinic,+27 12 373 7578,,"54 Khoza Street, Pretoria, 0008",-25.770257,28.088281,South Africa
Attmed health centre,Clinic,+27 12 358 3920,,"Komane Street, Pretoria, 0008",-25.772516,28.071248,South Africa
Azaadville Clinic,Clinic,+27 11 413 1345,,"Azaad Avenue, Azaadville",-26.171041,27.758538,South Africa
B. Braun Avitum Cape Gate Dialysis Centre,Clinic,+27 21 981 2812,capegate@bbraunavitum.co.za,"65 Tanner Road, Cape Town, ZA",-33.849893,18.698416,South Africa
BMR Family Health Clinic,Clinic,+27 129426611,,"Mokhetle Drive, Soshanguve, 0152",-25.487687,28.107394,South Africa
BMR Family Health Clinic,Clinic,+27 12 549 2330,,"2141 Lebanon, Winterveld, Mabopane, 0198",-25.487577,28.107369,South Africa
Bapong 2 Clinic,Clinic,,,,-25.312335,26.843853,South Africa
Barney Molokoane Clinic,Clinic,,,,-26.492521,27.879128,South Africa
Basani clinic,Clinic,+27 15 812 2903,,"Basani Village, Giyani",-23.369874,30.51929,South Africa
Bataung Community Clinic,Clinic,,,,-25.145374,26.825422,South Africa
Beaconsfield Clinic,Clinic,,,"34 Rectory Road, Beaconsfield, 8301",-28.758024,24.784043,South Africa
Bela-Bela Clinic,Clinic,,,Tambo Street,-24.884933,28.31094,South Africa
Bellair Medical And Dental Center,Clinic,+27 11 432 6979,,"84 Bellairs Drive, Glenvista, Johannesburg, 2059",-26.286674,28.057087,South Africa
Bellevue clinic,Clinic,+27 15 310 6006,,Modjadjiskloof,-23.41189,30.420888,South Africa
Bellville South Community Day Centre,Clinic,+27 21 833 0270,,"Kasselsvlei Road, Bellville South, 7530",-33.915311,18.643432,South Africa
Berario Clinic,Clinic,+27 11 476 5642,,"Dolores Avenue, Randburg, Johannesburg, 2195",-26.136103,27.952112,South Africa
Berario Clinic,Clinic,,,"Dolores Avenue, Johannesburg, 2195",-26.136153,27.952162,South Africa
Betty Gaetsewe Clinic,Clinic,+27 53 872 0220,,"151 Matanzima Street, Kimberly, 8345",-28.711847,24.715915,South Africa
Bhekabantu Clinic,Clinic,,,,-26.943895,32.336927,South Africa
Bhekumnthetu Clinic,Clinic,,,"Zululand District, 3100",-27.973265,30.737941,South Africa
Bhekumthetu Clinic,Clinic,,,Emondlo,-27.97326,30.737933,South Africa
Bio-Art Saxonworld,Clinic,,,Englewold Road,-26.159905,28.045397,South Africa
Bishop Lavis Community Health Centre,Clinic,+27 21 934 6129,,,-33.949212,18.581607,South Africa
Blinkwater Clinic,Clinic,,,,-23.412604,30.335875,South Africa
Block U Clinic (Sedilega Clinic),Clinic,+27 12 702 2300; +27 83 290 0421,,"891/1662 Block U, Mabopane, 0190",-25.499776,28.035523,South Africa
Blouberg Medical Centre,Clinic,,,"Senwabarwana, 0790",-23.282284,29.137634,South Africa
Blue Downs Clinic,Clinic,+27 21 444 8313,bluedowns.health@capetown.gov.za,,-33.977569,18.686296,South Africa
Boekenhouthoek Clinic,Clinic,,,"R573, Thembisile Hani Local Municipality, 0081",-25.299722,29.008261,South Africa
Boikhutso Clinic,Clinic,,,"720 Khudu Street, Lichtenburg",-26.178804,26.143126,South Africa
Boiki Tlhapi Health Centre,Clinic,,,,-26.717708,27.056241,South Africa
Bophelo Medical Centre - Ga-Malekane,Clinic,,,,-24.891568,30.013292,South Africa
Bophelong Clinic,Clinic,+27 10 345 0784,,"66 Masopha Street, Pretoria, 0125",-25.771731,28.053417,South Africa
Bophelong Clinic,Clinic,,,"Freedom Drive, Ivory Park, 1632",-26.004664,28.190493,South Africa
