Name,Type,Phone Number,Email,Physical Address,Latitude,Longitude,Region
ANP Foot and Ankle Clinic,Clinic,+1-515-961-7114,,"208 South C Street, Indianola, 50125",41.358624,-93.564805,USA
Abben Cancer Center,Clinic,+1-712-264-6550,,,43.149345,-95.14303,USA
Access Foot Care,Clinic,,,,41.62974,-93.722063,USA
Advanced Family Medicine,Clinic,,,,47.628329,-122.139462,USA
Adventist Health Medical Office - Dinuba,Clinic,+1 559 591 3342,,"1451 East El Monte Way, Dinuba, 93618",36.545915,-119.379748,USA
Adventist Health Medical Offices - Hanford,Clinic,+1 559-583-2100,,"1025 North Douty Street, Hanford, 93230",36.336125,-119.64561,USA
Akron Mercy Medical Clinic,Clinic,+1-712-568-2411,,"321 Mill Street, Akron, 51001",42.829736,-96.557639,USA
Alcona Health Center,Clinic,+1-989-724-5655,,"205 North State Street, Harrisville, 48740",44.65697,-83.295987,USA
Alcona Health Center,Clinic,+1-989-736-8157,,"177 North Barlow Road, Lincoln, 48742",44.661159,-83.403652,USA
Alegent Health Midlands Prime Care Center,Clinic,,,,41.138891,-96.035755,USA
Algona Eye Clinic,Clinic,+1-515-295-3743,,"220 North Dodge Street, Algona, 50511",43.070583,-94.236458,USA
Allen Women's Health - Waterloo,Clinic,+1-319-235-5090,,"233 Vold Drive, Waterloo, 50703",42.528804,-92.341059,USA
Allergy Asthma and Sinus Center,Clinic,+1-269-925-0323,,"951 Pipestone Street, Benton Harbor",42.101667,-86.440278,USA
Allergy and Asthma Clinic,Clinic,,,,41.926486,-83.387923,USA
American Eyecare Center,Clinic,+1 319 754 2020,,"2743 Mount Pleasant Street, Burlington, 52601",40.825436,-91.139091,USA
American Eyecare Center,Clinic,+1 319 524 2020,,"2025 Main Street, Keokuk, 52632",40.40868,-91.396135,USA
American Eyecare Center,Clinic,+1 319 372 2020,,"2255 Avenue L, Fort Madison, 52627",40.627406,-91.33794,USA
Ames Oral Surgeons,Clinic,+1-515-232-6830,,"1212 Duff Avenue, Ames, 50019",42.03342,-93.610311,USA
Anchor Family Health Center,Clinic,+1-641-424-0000,,"2800 4th Street Southwest, Mason City, 50401",43.148957,-93.246037,USA
Anderson Medical Center,Clinic,,,"400 Main Street, Norway, 49870",45.784169,-87.907066,USA
Anita Medical Center,Clinic,+1-712-762-4462,,"720 Main Street, Anita, 50020",41.444679,-94.765346,USA
Anthon Mercy Medical Clinic,Clinic,+1-712-373-5711,,"307 East Main Street, Anthon, 51004",42.388501,-95.864698,USA
Archibald Surgery Center,Clinic,+1 909 296 8930,,"9674 Archibald Avenue, Rancho Cucamonga, 91730",34.077986,-117.593981,USA
Arthritis Center of Lexington,Clinic,+1 859 254 7000,,"330 Waller Avenue, Lexington, 40504",38.028966,-84.516884,USA
Ashland-Boyd County Health Department,Clinic,,,"2924 Holt Street, Ashland, 41101",38.459709,-82.640673,USA
Aspirus Grand View Clinic - Ironwood,Clinic,+1-906-932-1500,,"N10565 Grandview Lane, Ironwood, 49938",46.480518,-90.108107,USA
Aspirus Houghton Clinic,Clinic,+1-906-487-1710,,"1000 Cedar Street, Houghton, 49931",47.105993,-88.585355,USA
Aspirus Keweenaw Lake Linden Clinic,Clinic,+1-906-296-5040,,"110 Calumet Street, Lake Linden, 49945",47.189931,-88.410235,USA
Aspirus Keweenaw Laurium Wellness,Clinic,+1-906-337-9355,,"300 Hecla Street, Laurium, 49913",47.236909,-88.442971,USA
Aspirus Ontonagon Clinic,Clinic,+1-906-884-8240,,"601 South 7th Street, Ontonagon, 49953",46.86617,-89.301503,USA
Aspirus U.P. Clinic - Bruce Crossing,Clinic,+1-906-827-3201,,"13833 US 45, Bruce Crossing, 49912",46.533385,-89.17896,USA
Asthma and Allergy Center,Clinic,,,,41.138019,-96.037432,USA
