Name,Type,Phone Number,Email,Physical Address,Latitude,Longitude,Region
ACELIN unidad de quimio terapia,Clinic,02512559290,,,10.06455,-69.286612,Venezuela
ADMINISTRACIÓN DE SERVICIOS DE SALUD LAS 24 HORAS,Clinic,+58-241-8324241,,,10.188147,-67.940029,Venezuela
AMP Margarita,Clinic,,,,10.961069,-63.830269,Venezuela
APS La Victoria,Clinic,,,"Dr. José María Vargas, 6021",9.737139,-63.162057,Venezuela
Abulatorio Militar,Clinic,,,,5.666654,-67.626518,Venezuela
Alejandro Guinand Ramírez,Clinic,+58-212-5502660,alejandroguinand@yahoo.com,Edificio Centro Salud Caracas,10.512157,-66.896264,Venezuela
Alfa,Clinic,,,"Calle Real de Maiquetía, La Guaira, 1161",10.59618,-66.949138,Venezuela
Alicia Beatriz Sánchez de Revello,Clinic,+58-212-7633763,isobeni@gmail.com,EDF. MAJESTIC. PISO 15. CONS. 156. FTE. CLIN. SANTIAGO DE LEON,10.496878,-66.87451,Venezuela
Ambo's Spa Center,Clinic,+58 286-9531345,,"C.C. Guayana Mall Redoma La Piña, Ciudad Guayana (Puerto Ordaz)",8.277459,-62.776204,Venezuela
Ambulatorio,Clinic,,,,10.957511,-64.179931,Venezuela
Ambulatorio,Clinic,,,,7.841073,-72.227088,Venezuela
Ambulatorio Ciudad Federación,Clinic,,,,11.674805,-70.151598,Venezuela
Ambulatorio Docente de la UCV,Clinic,+58-212-606,,"Av. Minerva, Caracas, 1053",10.488354,-66.894661,Venezuela
Ambulatorio Dr. Eduardo Cabrera,Clinic,,,,9.42406,-64.468322,Venezuela
Ambulatorio Dr. Gabriel Trompiz,Clinic,,,,10.790231,-68.324413,Venezuela
Ambulatorio Dr. Julio Omaña,Clinic,,,"3.° Avenida, Guarenas, 1220",10.474023,-66.609474,Venezuela
Ambulatorio LPG,Clinic,,,"2ª Transversal de Los Palos Grandes, Caracas, 1060",10.499885,-66.844261,Venezuela
Ambulatorio Las Canoas,Clinic,,,,7.114365,-71.331473,Venezuela
Ambulatorio Los Hornos CorpoSalud,Clinic,,,"Calle La Lucha, 2117",10.154192,-67.56871,Venezuela
Ambulatorio Pedro Iturbe,Clinic,+58-212-4311808,,"Av. Principal de Caricuao, Caracas, 1000",10.435212,-66.984834,Venezuela
Ambulatorio Rural,Clinic,,,San Ignacio del Yuruaní,5.00986,-61.145474,Venezuela
Ambulatorio Rural,Clinic,,,,4.565588,-61.529435,Venezuela
Ambulatorio Rural,Clinic,,,,4.529289,-61.624947,Venezuela
Ambulatorio Rural,Clinic,,,,5.054824,-60.934396,Venezuela
Ambulatorio Rural,Clinic,,,,5.05586,-61.097698,Venezuela
Ambulatorio Rural,Clinic,,,,4.942272,-61.109748,Venezuela
Ambulatorio Rural,Clinic,,,,4.929752,-61.199225,Venezuela
Ambulatorio Rural,Clinic,,,,4.793068,-61.053431,Venezuela
Ambulatorio Rural,Clinic,,,,4.520969,-61.120403,Venezuela
Ambulatorio Rural,Clinic,,,,4.718465,-61.321057,Venezuela
Ambulatorio Rural,Clinic,,,,4.750737,-61.484419,Venezuela
Ambulatorio Rural,Clinic,,,,4.804622,-61.620295,Venezuela
Ambulatorio Rural,Clinic,,,,4.583229,-61.180815,Venezuela
Ambulatorio Rural,Clinic,,,,4.615556,-61.322857,Venezuela
Ambulatorio Rural,Clinic,,,,4.658368,-61.383374,Venezuela
Ambulatorio Rural,Clinic,,,,4.563063,-61.275876,Venezuela
Ambulatorio Rural,Clinic,,,,4.852883,-61.418767,Venezuela
Ambulatorio Rural,Clinic,,,,4.974726,-61.380941,Venezuela
Ambulatorio Rural,Clinic,,,,4.554196,-61.172685,Venezuela
Ambulatorio Rural,Clinic,,,,5.720577,-62.344612,Venezuela
Ambulatorio Rural,Clinic,,,,6.413301,-63.595042,Venezuela
Ambulatorio Rural,Clinic,,,,6.431469,-63.585506,Venezuela
Ambulatorio Rural,Clinic,,,,6.248849,-63.688844,Venezuela
Ambulatorio Rural,Clinic,,,,6.118686,-63.762859,Venezuela
Ambulatorio Rural,Clinic,,,,6.02322,-62.892582,Venezuela
Ambulatorio Rural,Clinic,,,,5.705629,-62.903091,Venezuela
Ambulatorio Rural,Clinic,,,,5.320994,-62.571326,Venezuela
Ambulatorio Rural,Clinic,,,,5.356462,-62.669234,Venezuela
Ambulatorio Rural,Clinic,,,,5.342209,-62.7119,Venezuela
Ambulatorio Rural,Clinic,,,,5.375387,-62.809413,Venezuela
Ambulatorio Rural,Clinic,,,,7.918723,-63.115747,Venezuela
Ambulatorio Rural,Clinic,,,,6.044926,-67.035036,Venezuela
Ambulatorio Rural,Clinic,,,,5.949499,-66.919622,Venezuela
Ambulatorio Rural,Clinic,,,,5.942396,-66.676353,Venezuela
Ambulatorio Rural,Clinic,,,,6.380744,-67.222279,Venezuela
Ambulatorio Rural,Clinic,,,,6.310753,-67.074107,Venezuela
Ambulatorio Rural,Clinic,,,,6.102023,-67.067386,Venezuela
Ambulatorio Rural,Clinic,,,,6.526694,-66.9961,Venezuela
Ambulatorio Rural,Clinic,,,,6.260499,-67.12005,Venezuela
Ambulatorio Rural,Clinic,,,,6.586112,-66.842088,Venezuela
Ambulatorio Rural,Clinic,,,,7.125201,-65.594551,Venezuela
Ambulatorio Rural,Clinic,,,,6.592047,-66.757266,Venezuela
Ambulatorio Rural,Clinic,,,,6.64918,-66.653752,Venezuela
Ambulatorio Rural,Clinic,,,,6.827834,-66.563183,Venezuela
Ambulatorio Rural,Clinic,,,,6.372421,-65.822109,Venezuela
Ambulatorio Rural,Clinic,,,,6.326238,-65.8168,Venezuela
Ambulatorio Rural,Clinic,,,,7.132475,-66.934062,Venezuela
Ambulatorio Rural,Clinic,,,,4.331009,-61.737484,Venezuela
Ambulatorio Rural,Clinic,,,,4.259311,-61.888548,Venezuela
Ambulatorio Rural,Clinic,,,,4.346674,-62.185483,Venezuela
Ambulatorio Rural,Clinic,,,,4.473384,-61.592191,Venezuela
Ambulatorio Rural La Ensenada,Clinic,,,,10.439779,-71.647498,Venezuela
Ambulatorio Tienditas,Clinic,,,,7.882644,-72.441658,Venezuela
"Ambulatorio Tipo II ""Carmen Isidra Bracho""",Clinic,,,,11.707569,-69.842488,Venezuela
Ambulatorio Urbano 2,Clinic,,,"Calle Bolívar, San José de Barlovento, 1235",10.306799,-65.988283,Venezuela
Ambulatorio Urbano Tipo I,Clinic,,,"2ª Av. de Montalbán, Caracas, 1020",10.475086,-66.950246,Venezuela
Ambulatorio Urbano tipo I Las Tinajitas,Clinic,,,,10.063343,-69.398162,Venezuela
Ambulatorio de Akurimá,Clinic,,,,4.612413,-61.113884,Venezuela
Ambulatorio de Casalta III,Clinic,,,"Calle Principal de Casalta III, Caracas, VE",10.495904,-66.953894,Venezuela
Ambulatorio de Guanire,Clinic,,,Puerto La cruz,10.207624,-64.623574,Venezuela
Ambulatorio de Guayacancito,Clinic,,,,10.938815,-64.21677,Venezuela
Ambulatorio de Kewey I,Clinic,,,,4.597624,-61.101673,Venezuela
Ambulatorio de Kewey II,Clinic,,,,4.602099,-61.100969,Venezuela
"Ambulatorio de Rotary ""Roberto de Santis""",Clinic,+58 286-9525514,,"Avenida Norte-Sur 4, Ciudad Guayana (Puerto Ordaz)",8.268116,-62.771642,Venezuela
Ambulatorio de Tierra Adentro,Clinic,,,"Calle La Linea, puerto la cruz, 6023",10.19356,-64.632887,Venezuela
Ambulatorio tipo 2,Clinic,,,,6.239508,-62.851695,Venezuela
Ambulatorio urbano tipo i Chuparín arriba,Clinic,,,"Calle 23 de enero, Puerto La Cruz, 6023",10.196281,-64.61637,Venezuela
Anexo Clínica Ejido - Consultorio Dr. William Nava MEDICINA INTERNA,Clinic,,,"Calle Honduras, Ejido",8.549549,-71.23269,Venezuela
Anexo centro médico albarregas,Clinic,,,,8.611716,-71.142928,Venezuela
Angios. Centro Vascular,Clinic,,,"Choroní, Caracas, 1064",10.481968,-66.84147,Venezuela
Antigua Clínica Suma,Clinic,,,,7.991381,-62.392332,Venezuela
Asociación Quirúrgica Chuao,Clinic,,,"Av. Araure, Caracas, 1064",10.481541,-66.842528,Venezuela
Asomed,Clinic,+58 414-4713815,,,10.926295,-68.269756,Venezuela
Barrio Adentro,Clinic,,,"Carretera Vieja Caracas - La Guaira, Caracas, VE",10.528678,-66.954357,Venezuela
Barrio Adentro,Clinic,,,"Calle 10, Caracas, VE",10.501629,-66.960553,Venezuela
Barrio Adentro,Clinic,,,"Avenida Principal de Casalta, Caracas, VE",10.495781,-66.955471,Venezuela
Barrio Adentro,Clinic,,,"2.° Calle, Caracas, VE",10.50194,-66.958215,Venezuela
Barrio Adentro,Clinic,,,"Avenida 6, Caracas, VE",10.503053,-66.961471,Venezuela
Barrio Adentro,Clinic,,,"Callejón 10, Caracas, VE",10.505608,-66.959298,Venezuela
Barrio Adentro,Clinic,,,"3.° Calle, Caracas, VE",10.500801,-66.959606,Venezuela
Barrio Adentro,Clinic,,,"Avenida Circunvalación, Caracas, VE",10.499828,-66.957226,Venezuela
Barrio Adentro,Clinic,,,"Prolongación Calle 1, Caracas, VE",10.501131,-66.95208,Venezuela
Barrio Adentro,Clinic,,,"Prolongación Calle Central, Caracas, VE",10.499342,-66.954562,Venezuela
Barrio Adentro,Clinic,,,"Calle Principal de Casalta III, Caracas, VE",10.497645,-66.949776,Venezuela
Barrio Adentro,Clinic,,,"Avenida Principal de Casalta, Caracas, VE",10.497233,-66.955117,Venezuela
Barrio Adentro,Clinic,,,"Calle 8, Caracas, VE",10.505042,-66.957669,Venezuela
Barrio Adentro,Clinic,,,"Avenida Principal de Casalta, Caracas, VE",10.500495,-66.958266,Venezuela
Barrio Adentro,Clinic,,,"Calle Central, Caracas, VE",10.497335,-66.957743,Venezuela
Barrio Adentro,Clinic,,,"3.° Calle, Caracas, VE",10.500827,-66.960388,Venezuela
Barrio Adentro,Clinic,,,,10.495645,-66.947669,Venezuela
Barrio Adentro,Clinic,,,"Calle Principal de Casalta III, Caracas, VE",10.498367,-66.950308,Venezuela
Barrio Adentro,Clinic,,,,10.501795,-66.946599,Venezuela
Barrio Adentro,Clinic,,,,10.497736,-66.941296,Venezuela
Barrio Adentro,Clinic,,,,10.500956,-66.945518,Venezuela
Barrio Adentro,Clinic,,,,10.50184,-66.939587,Venezuela
Barrio Adentro,Clinic,,,,10.505337,-66.942937,Venezuela
Barrio Adentro,Clinic,,,,10.509903,-66.926144,Venezuela
