X,Y,osm_id,osm_type,completeness,amenity,healthcare,name,operator,source,speciality,operator_type,operational_status,opening_hours,beds,staff_doctors,staff_nurses,health_amenity_type,dispensing,wheelchair,emergency,insurance,water_source,electricity,is_in_health_area,is_in_health_zone,url,addr_housenumber,addr_street,addr_postcode,addr_city,changeset_id,changeset_version,changeset_timestamp,uuid
-21.8834240641413,64.0993295905712,"1932995091",node,15.625,pharmacy,pharmacy,Lyfjaval Bílaapótek,,,,,,,,,,,yes,,,,,,,,,,,,,88772005,2,2020/07/31 08:53:59+00,7a45b41a134f474b9e99dea2ba6cf9ec
-18.5323638181655,65.9715885969166,"851173826",node,12.5,pharmacy,pharmacy,Lyf & heilsa,,,,,,,,,,,,,,,,,,,,,,,,88771050,2,2020/07/31 08:37:00+00,728407ec1ea84d3c8d78affd7e3352bf
-21.859021326518,64.0939234306624,"828001214",node,12.5,pharmacy,pharmacy,Apótekarinn,,,,,,,,,,,,,,,,,,,,,,,,95962927,5,2020/12/16 20:37:14+00,37c165ea18cc45c886f5d64d269e7ed0
-21.9074745103741,64.1119101566824,"2333577252",node,31.25,clinic,clinic,Heilsugæslan Hamraborg,,,general,,,"Mo-Tu 08:00-18:00, Fr 08:00-16:00",,,,,,,,,,,,,,"8",Hamraborg,"200",Kópavogur,80623970,4,2020/02/06 06:54:07+00,4bf47d6557ed4bc2a0057c0ff6a1267a
-20.270035108168,63.4409165955992,"4311604589",node,12.5,pharmacy,pharmacy,Apótekarinn,,,,,,,,,,,,,,,,,,,,,,,,88771510,3,2020/07/31 08:45:21+00,703323a3b0194f998a7d56d7fe64a246
-21.8156834505306,64.1052514889824,"828001115",node,9.375,pharmacy,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,88772177,3,2020/07/31 08:57:05+00,5a0f770b47c34089bea6617e9f089d25
-13.6859499178105,65.148698521799,"490979064",node,28.125,pharmacy,pharmacy,Lyfja,,,,,,Mo-Fr 10:00-18:00,,,,,yes,,,,,,,,,"15",Hafnarbraut,"740",,84157957,6,2020/04/26 20:35:36+00,559e16fb2c4044c7b4d395e76df5ac3c
-21.9163325056479,64.1317318489452,"11401932364",node,28.125,doctors,doctor,Heilsugæslan Hlíðum,,,,,,Mo-Su 08:00-16:00,,,,,,,,,,,,,,"18",Skógarhlíð,"105",,150271903,4,2024/04/20 16:41:44+00,1bb55aacb36943d9821a8e55d6472a2c
-21.8423600308468,64.1085306571419,"326416069",node,12.5,doctors,,Heilsugæslan Mjódd,,,,,,,,,,,,,no,,,,,,,,,,,7817401,2,2011/04/09 20:53:53+00,b6511a49693d48818ec27ff95b061aa6
-22.4342029449864,63.8449251667529,"826725026",node,15.625,doctors,doctor,Heilsugæslan,,,,,,,,,,,,,no,,,,,,,,,,,74188393,4,2019/09/06 17:59:51+00,4984f2a16e564a188afa9511e325921d
,,"168917410",way,21.875,doctors,doctor,,,,,,,,,,,,,,,,,,,,,"13",Skriðuvellir,"880",Kirkjubæjarklaustur,129320609,4,2022/11/24 11:24:47+00,1f240dbc46d04d31bb9929c4dad7d26a
-21.8145052064015,64.1050508262204,"828001317",node,15.625,clinic,clinic,Heilsugæslan Efra-Breiðholti,,,,,,,,,,,,,no,,,,,,,,,,,169304396,6,2025/07/22 17:01:16+00,9a49191f218449b2bf926344753e1cfe
-21.8069809395607,64.0968616230008,"3084878573",node,12.5,dentist,dentist,Tannlæknastofan Valhöll,,,,,,,,,,,,,,,,,,,,,,,,158489007,3,2024/10/29 09:29:57+00,27048c2ae2e64c8d8d0ff7689d4b4149
-21.9114822335575,64.5446750259677,"12243848904",node,12.5,clinic,clinic,Meilbrigðisstofnun Vesturlands,,,,,,,,,,,,,,,,,,,,,,,,157749781,1,2024/10/11 10:08:02+00,c56e63205c09412387875c222c720ca6
-21.8915074039237,64.1269377356061,"325957323",node,25,doctors,,Heilsugæslan Efstaleiti,,,,,,"Mo-Th 08:00-18:00; Fr 08:00-16:00",,,,,,yes,,,,,,,,"3",Efstaleiti,"103",,150271153,8,2024/04/20 16:25:29+00,f251923f406246d09e23c3bdf40b00dd
-21.9259181339361,64.0907578372909,"4368030590",node,12.5,pharmacy,pharmacy,,,,,,,"Mo-Fr 09:00-18:30; Sa 10:00-16:00; Su 12:00-16:00",,,,,,,,,,,,,,,,,,88771934,2,2020/07/31 08:52:44+00,b9879e29945d4ea6a6fad1c719445278
,,"863452470",way,12.5,hospital,hospital,,,,,,,,,,,,,,no,,,,,,,,,,,93004826,1,2020/10/25 03:10:16+00,aea2b04e70114f78bf18660a885faf05
-21.7642958461925,64.13019921795,"1279782736",node,12.5,pharmacy,pharmacy,Urðarapótek,,,,,,,,,,,,,,,,,,,,,,,,146246681,4,2024/01/14 14:18:06+00,ed1f492eaedd4cca8cfbfeb691adb20f
,,"365288263",way,18.75,doctors,,Heilsugæslan Eskifirði,,,,,,,,,,,,,,,,,,,,"31",Strandgata,"735",,78791764,4,2019/12/23 22:44:32+00,5e0afc825944407496651f07569e147c
-20.9470300281044,65.3985809926743,"2412859624",node,28.125,clinic,,Heilbrigðisstofnun vesturlands,,,,,,"09:00-12:00,12:30-16:00",,,,,,yes,,,,,,,,"1",Spítalastígur,"530",Hvammstangi,150271185,7,2024/04/20 16:26:08+00,b7155bd165ee4bd7b4843d3e35d7f0f9
-20.9468132720883,65.399097737005,"4234814390",node,25,pharmacy,pharmacy,Lyfja Hvammstanga,,,,,,"We-Fr 11:00-17:00; Mo-Tu 13:00-17:00",,,,,,,,,,,,,,"1",Nestún,"530",,121145514,4,2022/05/18 12:27:11+00,b24d8fbefd75421b82ac4b4ab56122e8
