X,Y,osm_id,osm_type,completeness,amenity,healthcare,name,operator,source,speciality,operator_type,operational_status,opening_hours,beds,staff_doctors,staff_nurses,health_amenity_type,dispensing,wheelchair,emergency,insurance,water_source,electricity,is_in_health_area,is_in_health_zone,url,addr_housenumber,addr_street,addr_postcode,addr_city,changeset_id,changeset_version,changeset_timestamp,uuid
-76.8984704221741,17.9607216269561,"4233670899",node,18.75,pharmacy,pharmacy,Monarch Pharmacy,,,,,,"Mo-Sa 10:00-23:00; Su 10:00-21:00",,,,,,,,,,,,,,,Braeton Parkway,,,145749344,6,2024/01/01 00:12:31+00,69bb4a1024fe47e5a768106fefc12ea2
,,"850844417",way,15.625,pharmacy,pharmacy,,,,,,,"Mo-Su 09:00-22:00; Sa 09:00-17:00; PH closed",,,,,,limited,,,,,,,,,,,,142668550,2,2023/10/16 14:09:43+00,d41d7640f26342798f89b5a31b07ce38
,,"374468828",way,15.625,clinic,,Gregory Park Clinic,,,,,,,,,,,,,,,,,,,,,Gregory Park Main Road,,Portmore,94695094,3,2020/11/24 09:39:18+00,47930f8edb424092b9b079c2305dab36
-77.5300997161075,18.4689063580824,"3721456693",node,12.5,clinic,,Duncans Medical Center,,KG Ground Survey 2015,,,,,,,,,,,,,,,,,,,,,,37034644,4,2016/02/06 04:19:25+00,5e498e3e08f64909bfec2425bfca8c1b
,,"374956734",way,12.5,clinic,,Hope Institute,,KG Ground Survey 2015,,,,,,,,,,,,,,,,,,,,,,93869822,4,2020/11/10 15:07:30+00,27bdb18569bc416abe832a52fd575b52
,,"374993684",way,12.5,pharmacy,pharmacy,,,KG Ground Survey 2015,,,,,,,,,,,,,,,,,,,,,,96221911,2,2020/12/22 00:35:13+00,fbc4c440d00147928ce5d4b99a1c1ade
-77.0316411777856,18.1371207908994,"3776984639",node,15.625,dentist,dentist,New Smile Dental,,,,,,Mo-Sa 08:00-18:00,,,,,,,,,,,,,,,,,,127276143,6,2022/10/10 03:09:03+00,585255c948e8446388d25fa336bf62c8
-78.3504742144446,18.2789590211255,"3775366068",node,12.5,dentist,,Dentist,,KG Ground Survey 2015,,,,,,,,,,,,,,,,,,,,,,37034644,3,2016/02/06 04:19:17+00,53fd9feba10f404594f287d64181bf66
,,"374122448",way,12.5,pharmacy,,Benson's Pharmacy,,Updates from driving in Jamaica. KG Ground Survey 2015.,,,,,,,,,,,,,,,,,,,,,,34472822,1,2015/10/06 16:40:39+00,dbf90fed3af646c7aded380a1a6db83a
,,"371793800",way,12.5,clinic,,Urology Centre,,KG Ground Survey 2015,,,,,,,,,,,,,,,,,,,,,,37034644,3,2016/02/06 04:13:27+00,8d067fa2f6204a2b8b87c04b8a65c4d8
,,"371543551",way,12.5,pharmacy,,Ultra-Med Pharmacy,,KG Ground Survey 2015,,,,,,,,,,,,,,,,,,,,,,37034644,3,2016/02/06 04:13:16+00,9c79ba53c9f54c4082629efa2a7105cc
-78.3449057808903,18.2785485593271,"3774334191",node,12.5,doctors,,Medical Centre,,KG Ground Survey 2015,,,,,,,,,,,,,,,,,,,,,,37034644,3,2016/02/06 04:21:56+00,541102cd9f6e4eb386bbb1753aa3bfcf
,,"374989762",way,12.5,pharmacy,pharmacy,Ashbiz Pharmacy,,,,,,,,,,,,,,,,,,,,,,,,96221968,2,2020/12/22 00:38:53+00,1f5ac2577abe4636864c5f759f9eb8e7
,,"374475179",way,15.625,pharmacy,pharmacy,Leed's Pharmacy,,KG Ground Survey 2015,,,,,,,,,,,,,,,,,,,,,,130047056,2,2022/12/13 18:58:00+00,cd13fa82292a4a2fa56b47963154480d
-77.0317816584828,18.1370339543826,"3776984641",node,15.625,pharmacy,pharmacy,Sambells Discout Pharmacy,,KG Ground Survey 2015,,,,,,,,,,,,,,,,,,,,,,127276143,6,2022/10/10 03:09:03+00,258600ca5a3f40e9802d3873109b0778
