X,Y,osm_id,osm_type,completeness,amenity,healthcare,name,operator,source,speciality,operator_type,operational_status,opening_hours,beds,staff_doctors,staff_nurses,health_amenity_type,dispensing,wheelchair,emergency,insurance,water_source,electricity,is_in_health_area,is_in_health_zone,url,addr_housenumber,addr_street,addr_postcode,addr_city,changeset_id,changeset_version,changeset_timestamp,uuid
174.650814151137,-36.8546741677301,"5116574472",node,12.5,dentist,dentist,Peninsula Dental Care,,,,,,,,,,,,,,,,,,,,,,,,156771880,2,2024/09/18 12:45:46+00,00238d6837224310a290e49557a55b44
,,"516592466",way,12.5,hospital,hospital,,,,,,,,,,,,,,no,,,,,,,,,,,144420056,8,2023/11/24 19:56:51+00,24bab759eb09491991d9ba02078052c3
174.305498348213,-35.7342614824891,"3931751850",node,12.5,pharmacy,pharmacy,Maunu Pharmacy,,,,,,,,,,,,,,,,,,,,,,,,156823179,2,2024/09/19 14:21:07+00,9a097636b8cf487db6e1b97bef9a2aea
172.629743338763,-43.5349141205422,"10148888117",node,12.5,pharmacy,pharmacy,Parkside Pharmacy,,,,,,,,,,,,,,,,,,,,,,,,132992613,2,2023/02/25 04:59:53+00,5b80c210c2a248afb0a9d28d203a0db9
174.778347490131,-36.8677826261032,"8369701420",node,12.5,dentist,dentist,Newmarket Dental Studio,,,,,,,,,,,,,,,,,,,,,,,,153355171,2,2024/06/30 05:35:51+00,3bf93f7485294cf0bbdf91d421842262
176.152580631996,-37.6710580419663,"3792182830",node,15.625,doctors,doctor,Brookfield Medical Centre,,,,,,Mo-Fr 08:00-17:00,,,,,,,,,,,,,,,,,,117033748,3,2022/02/05 07:26:29+00,3673cdf00010461a98411ab48c331520
174.730657227102,-37.2491688596867,"4741046267",node,12.5,pharmacy,pharmacy,Unichem,,,,,,,,,,,,,,,,,,,,,,,,121079530,3,2022/05/17 06:19:05+00,7a7f510d5b954f6b90808ac3be66972e
,,"874441825",way,25,doctors,doctor,The Doctors Waipawa,,,,,,,,,,,,,,,,,,,,"19",Kenilworth Street,"4210",Waipawa,117871119,2,2022/02/26 07:28:19+00,88b7006f6b0148cf8d3ef420c73e9a24
174.912562882335,-36.9243839418533,"1278851304",node,12.5,pharmacy,pharmacy,Botany Road Pharmacy,,,,,,,,,,,,,,,,,,,,,,,,116410708,4,2022/01/21 04:27:44+00,34811b4b186d4a6aa5424c2c75525035
174.725196249546,-36.7365048395044,"5513564449",node,21.875,pharmacy,pharmacy,Healthcare Pharmacy Rosedale,,,,,,"Mo-Fr 08:00-20:00; Sa 09:00-18:00; Su,PH 09:00-15:00",,,,,,,,,,,,,,17/94,Rosedale Road,,,112361121,2,2021/10/11 07:40:16+00,5bc940ef1e4a4236a46a4a79356678e8
,,"362524805",way,21.875,clinic,clinic,Tauranga Eye Specialists,,,,,,Mo-Fr 08:15-17:00,,,,,,,,,,,,,,"25",Park Street,,,160018814,5,2024/12/07 08:28:46+00,877f8c1c19be4952bb540087a1d91385
175.282646538584,-37.8172407802453,"4507804336",node,28.125,pharmacy,pharmacy,Unichem,,,,,,"Mo-Th 08:30-18:00; Fr 08:30-17:30; Sa 09:30-12:30",,,,,yes,,,,,,,,,"143",Ohaupo Road,,Hamilton,156818684,6,2024/09/19 12:43:13+00,83cc8709986b4b04b4cea9b4f3ab206d
176.252287980292,-38.1390196123246,"12995319236",node,9.375,,physiotherapist,The Flo Co.,,,,,,,,,,,,,,,,,,,,,,,,168822887,1,2025/07/12 05:51:47+00,5be3a670f6714c4cb276cadd7969798b
,,"901479297",way,15.625,hospital,hospice,Mercy Hospice Auckland,,,,,,,,,,,,,no,,,,,,,,,,,165915336,5,2025/05/07 00:21:11+00,47f79fedd8474543ae5af979c2dad922
174.775491021348,-36.8849026633351,"3744924969",node,25,pharmacy,pharmacy,Weymouth's Pharmacy,,,,,,,,,,,,,,,,,,,,"237",Manukau Road,"1023",Epsom,81060001,3,2020/02/16 01:42:09+00,e785439ecf4b484a8c7b10f49ae557cf
,,"745259828",way,15.625,clinic,clinic,Aorangi Specialist Centre,,,"orthopaedics;diagnostic_radiology",,,,,,,,,,,,,,,,,,,,,168425599,3,2025/07/03 05:12:28+00,aec927121d74442aa7b00fddceb0c041
