Type,GeoJSON,H_Region,Parish,H_Name,Address,Telephone,Sub Type,Accuracy,X,Y
Health Centre,"{""coordinates"": [-77.40009357735117, 18.212208676811414], ""type"": ""Point""}",Southern,Clarendon,Aenon Town,Aenon Town P.O.,,1,Digitizing,707678.812272,673533.311374
Health Centre,"{""coordinates"": [-77.4364590060752, 18.180433253407738], ""type"": ""Point""}",Southern,Clarendon,Alston,Alston P.O.,,2,Digitizing,703823.869677,670024.990593
Health Centre,"{""coordinates"": [-77.2475938036256, 18.154005446827018], ""type"": ""Point""}",Southern,Clarendon,Brandon Hill,Brandon Hill P.A.,,1,Digitizing,723801.352277,667063.031097
Health Centre,"{""coordinates"": [-77.237624999997, 17.968505555555737], ""type"": ""Point""}",Southern,Clarendon,Bryant Crescent,"38 Bryant Crescent, May Pen P.O.",,3,GPS,724829.867957,646530.317131
Health Centre,"{""coordinates"": [-77.27029824987993, 18.082960524663797], ""type"": ""Point""}",Southern,Clarendon,Chapleton,Chapleton P.O.,987-2215,6,Digitizing,721387.464533,659203.001531
Health Centre,"{""coordinates"": [-77.26525058719642, 18.145149389582638], ""type"": ""Point""}",Southern,Clarendon,Colonel's Ridge,Colonel's Ridge P.O.,,1,Digitizing,721931.633661,666085.405596
Health Centre,"{""coordinates"": [-77.20650891004532, 18.131046493597818], ""type"": ""Point""}",Southern,Clarendon,Croft's Hill,Croft's Hill P.O.,,2,Digitizing,728145.836628,664516.557917
Health Centre,"{""coordinates"": [-77.31628803351725, 18.13665064713291], ""type"": ""Point""}",Southern,Clarendon,Crooked River,Crooked River P.O.,,1,Digitizing,716529.338015,665153.215815
Health Centre,"{""coordinates"": [-77.42905420673418, 18.11189626649533], ""type"": ""Point""}",Southern,Clarendon,Cumberland,Cumberland P.O.,,1,Digitizing,704589.721163,662437.342385
Health Centre,"{""coordinates"": [-77.33862297479679, 18.00585085404934], ""type"": ""Point""}",Southern,Clarendon,Darlowe,Darlowe P.O.,,1,Digitizing,714139.342311,650680.321469
Health Centre,"{""coordinates"": [-77.3657963203556, 18.147719888904238], ""type"": ""Point""}",Southern,Clarendon,Frankfield,Franfield P.O.,904-4113,3,Digitizing,711292.628264,666388.019857
Health Centre,"{""coordinates"": [-77.24397979890293, 17.93237359950266], ""type"": ""Point""}",Southern,Clarendon,Halse Hall,Halse Hall P.A.,,1,Digitizing,724151.481909,642532.114719
Health Centre,"{""coordinates"": [-77.33548344300247, 18.172495654912105], ""type"": ""Point""}",Southern,Clarendon,James Hill,James Hill P.O.,,2,Digitizing,714505.196046,669124.196873
Health Centre,"{""coordinates"": [-77.22807910609706, 18.1692981922621], ""type"": ""Point""}",Southern,Clarendon,Kellits,Kellits P.O.,966-8303,3,Digitizing,725868.342383,668753.023102
Health Centre,"{""coordinates"": [-77.40629441631451, 18.158387114897664], ""type"": ""Point""}",Southern,Clarendon,Leicesterfield,Leicesterfield P.O.,,1,Digitizing,707009.84576,667577.615135
Health Centre,"{""coordinates"": [-77.2395055363349, 17.807147094778955], ""type"": ""Point""}",Southern,Clarendon,Lionel Town,Lionel Town P.O.,986-3213,3,Digitizing,724607.605345,628671.537162
Health Centre,"{""coordinates"": [-77.25905833333044, 17.9745250000011], ""type"": ""Point""}",Southern,Clarendon,May Pen,Denbigh P.O.,,3,GPS,722560.501103,647199.58989
Health Centre,"{""coordinates"": [-77.35216666666835, 17.88148333333108], ""type"": ""Point""}",Southern,Clarendon,Milk River,Milk River  P.O.,,2,GPS,712678.90298,636918.043124
Health Centre,"{""coordinates"": [-77.20607457217501, 17.806394868954463], ""type"": ""Point""}",Southern,Clarendon,Mitchell Town,Mitchell Town P.O.,,1,Digitizing,728151.864524,628584.022895
Health Centre,"{""coordinates"": [-77.33718333333313, 18.044083333329482], ""type"": ""Point""}",Southern,Clarendon,Mocho,Mocho  P.O.,,2,GPS,714299.497611,654911.633662
Health Centre,"{""coordinates"": [-77.46796778892943, 18.195937727930193], ""type"": ""Point""}",Southern,Clarendon,Moravia,Moravia P.O.,,1,Digitizing,700494.667524,671749.199382
