Name,Type,Phone Number,Email,Physical Address,Latitude,Longitude,Region,Beds,Website
Yale New Haven Hospital,Hospital,+1 203 688 4242,,"20, York Street, New Haven, 06510",41.304422,-72.935604,USA,1541,https://www.ynhh.org/childrens-hospital.aspx
Barnes-Jewish Hospital,Hospital,+1-314-747-3000,,"1, Barnes-Jewish Hospital Plaza, Saint Louis, 63110",38.637166,-90.264366,USA,1400,https://www.barnesjewish.org/
AdventHealth Orlando,Hospital,+1 407 303 5600,,"601, East Rollins Street, Orlando, 32803",28.57513,-81.370582,USA,1368,https://www.floridahospital.com/orlando
Mayo Clinic Saint Marys Campus,Hospital,+1 507 255 5123,,"1216, 2nd Street Southwest, Rochester, 55902",44.019363,-92.480982,USA,1265,https://www.mayoclinic.org/patient-visitor-guide/minnesota/clinic-hospital-buildings/mayo-clinic-hospital-saint-marys-campus
Atascadero State Hospital,Hospital,(602) 220-6000,,"10333, El Camino Real, Atascadero",35.463944,-120.634214,USA,1239,https://dsh.ca.gov/Atascadero/
Porterville Developmental Center,Hospital,+1 559 782 2222,,"26501, Avenue 140, Porterville, 93257",36.039234,-118.984171,USA,1226,https://www.dds.ca.gov/Porterville/
Carolinas Medical Center - Center For Mental Health,Hospital,+1 704 355 2000,,"234 EAST 149TH STREET, BRONX, NY 10451",35.192004,-80.80394,USA,1211,
Johns Hopkins Hospital,Hospital,+1 410 955 5000,,"1800, Orleans Street, Baltimore, 21287",39.29625,-76.591831,USA,1154,https://www.hopkinsmedicine.org/the_johns_hopkins_hospital/
Saint Francis Hospital,Hospital,+1 918 494 2200,,"6161, South Yale Avenue East, Tulsa, 74136",36.071474,-95.919749,USA,1112,https://www.saintfrancis.com/
Memorial Hermann-Texas Medical Center,Hospital,+1 713 704 4000,,"6411, Fannin Street, Houston, 77030",29.713393,-95.395693,USA,1098,https://www.memorialhermann.org/locations/texas-medical-center/
Riverside Methodist Hospital,Hospital,+1 614 566 5000,,"3535, Olentangy River Road, Columbus, 43214",40.031126,-83.034826,USA,1059,https://www.ohiohealth.com/locations/hospitals/riverside-methodist-hospital
Inova Fairfax Hospital,Hospital,+1 703-776-4001,,"3300, Gallows Road, Falls Church, 22042",38.856988,-77.227999,USA,1043,https://www.inova.org/ifh
University Hospitals Cleveland Medical Center,Hospital,+1 216 844 1000,,"11100, Euclid Avenue, Cleveland, 44106",41.505931,-81.606049,USA,1032,http://www.uhhospitals.org/cleveland
Baylor University Medical Center,Hospital,+1 214 820 0111,,"3500, Gaston Avenue, Dallas, 75246",32.790027,-96.778612,USA,1025,https://www.bswhealth.com/locations/dallas
New Bridge Medical Center,Hospital,+1 201 967 4000,,"230, East Ridgewood Avenue, Paramus, 07652",40.955459,-74.062262,USA,1020,https://www.newbridgehealth.org
Tampa General Hospital,Hospital,+1-813-844-7000,,"1, Tampa General Circle, Tampa, 33606",27.937469,-82.458939,USA,1011,https://www.tgh.org/
Beaumont Hospital - Royal Oak,Hospital,+1 248 898 5000,,"3601, West 13 Mile Road, Royal Oak, 48073",42.514248,-83.192873,USA,1000,https://www.beaumont.edu/
Parkland Memorial Hospital,Hospital,+1 214 590 8000,,"5200, Harry Hines Boulevard, Dallas, 75235",32.813107,-96.835526,USA,983,https://www.parklandhospital.com/phhs/home.aspx
Mary Washington Hospital,Hospital,+1-540-741-1100,,"1001, Sam Perry Boulevard, Fredericksburg, 22401",38.310434,-77.483428,USA,981,https://www.marywashingtonhealthcare.com
Abbott Northwestern Hospital,Hospital,+1 612 863 4000,,"800, East 28th Street, Minneapolis, 55407",44.953755,-93.261337,USA,952,https://www.allinahealth.org/Abbott-Northwestern-Hospital
